timestamp,open,high,low,close
2004-01-02,15.27,15.27,15.27,15.27
2004-01-05,15.43,15.43,15.43,15.43
2004-01-06,15.5,15.5,15.5,15.5
2004-01-07,15.25,15.25,15.25,15.25
2004-01-08,15.2,15.2,15.2,15.2
2004-01-09,14.98,14.98,14.98,14.98
2004-01-12,14.97,14.97,14.97,14.97
2004-01-13,15.05,15.05,15.05,15.05
2004-01-14,15.3333,15.3333,15.3333,15.3333
2004-01-15,15.4,15.4,15.4,15.4
2004-01-16,15.35,15.35,15.35,15.35
2004-01-20,15.45,15.45,15.45,15.45
2004-01-21,15.63,15.63,15.63,15.63
2004-01-22,15.68,15.68,15.68,15.68
2004-01-23,15.7,15.7,15.7,15.7
2004-01-26,15.63,15.63,15.63,15.63
2004-01-27,15.81,15.81,15.81,15.81
2004-01-28,15.92,15.92,15.92,15.92
2004-01-29,15.6873,15.6873,15.6873,15.6873
2004-01-30,15.7,15.7,15.7,15.7
2004-01-31,15.7,15.7,15.7,15.7
2004-02-02,15.85,15.85,15.85,15.85
2004-02-03,16.28,16.28,16.28,16.28
2004-02-04,16.61,16.61,16.61,16.61
2004-02-05,17.16,17.16,17.16,17.16
2004-02-06,17.2,17.2,17.2,17.2
2004-02-09,16.94,16.94,16.94,16.94
2004-02-10,16.85,16.85,16.85,16.85
2004-02-11,16.9,16.9,16.9,16.9
2004-02-12,16.82,16.82,16.82,16.82
2004-02-13,16.9,16.9,16.9,16.9
2004-02-17,17.52,17.52,17.52,17.52
2004-02-18,17.6031,17.6031,17.6031,17.6031
2004-02-19,17.28,17.28,17.28,17.28
2004-02-20,17.16,17.16,17.16,17.16
2004-02-23,17.42,17.42,17.42,17.42
2004-02-24,17.02,17.02,17.02,17.02
2004-02-25,17.04,17.04,17.04,17.04
2004-02-26,17.18,17.18,17.18,17.18
2004-02-27,17.2475,17.2475,17.2475,17.2475
2004-03-01,17.31,17.31,17.31,17.31
2004-03-02,17.23,17.23,17.23,17.23
2004-03-03,17.32,17.32,17.32,17.32
2004-03-04,17.25,17.25,17.25,17.25
2004-03-05,17.06,17.06,17.06,17.06
2004-03-08,16.84,16.84,16.84,16.84
2004-03-09,16.61,16.61,16.61,16.61
2004-03-10,16.38,16.38,16.38,16.38
2004-03-11,16.15,16.15,16.15,16.15
2004-03-12,16.57,16.57,16.57,16.57
2004-03-15,16.39,16.39,16.39,16.39
2004-03-16,16.8,16.8,16.8,16.8
2004-03-17,16.9533,16.9533,16.9533,16.9533
2004-03-18,16.93,16.93,16.93,16.93
2004-03-19,16.9,16.9,16.9,16.9
2004-03-22,16.49,16.49,16.49,16.49
2004-03-23,16.2,16.2,16.2,16.2
2004-03-24,16.165,16.165,16.165,16.165
2004-03-25,16.45,16.45,16.45,16.45
2004-03-26,16.68,16.68,16.68,16.68
2004-03-29,17.1,17.1,17.1,17.1
2004-03-30,16.98,16.98,16.98,16.98
2004-03-31,16.87,16.87,16.87,16.87
2004-04-01,16.84,16.84,16.84,16.84
2004-04-02,17.05,17.05,17.05,17.05
2004-04-05,17.29,17.29,17.29,17.29
2004-04-06,17.25,17.25,17.25,17.25
2004-04-07,17.19,17.19,17.19,17.19
2004-04-08,17.08,17.08,17.08,17.08
2004-04-12,17.31,17.31,17.31,17.31
2004-04-13,17.03,17.03,17.03,17.03
2004-04-14,16.82,16.82,16.82,16.82
2004-04-15,16.58,16.58,16.58,16.58
2004-04-16,16.72,16.72,16.72,16.72
2004-04-19,17.06,17.06,17.06,17.06
2004-04-20,17.0085,17.0085,17.0085,17.0085
2004-04-21,16.9,16.9,16.9,16.9
2004-04-22,17.165,17.165,17.165,17.165
2004-04-23,17.4,17.4,17.4,17.4
2004-04-26,17.17,17.17,17.17,17.17
2004-04-27,17.13,17.13,17.13,17.13
2004-04-28,17.04,17.04,17.04,17.04
2004-04-29,17.03,17.03,17.03,17.03
2004-04-30,17.56,17.56,17.56,17.56
2004-05-03,17.54,17.54,17.54,17.54
2004-05-04,17.36,17.36,17.36,17.36
2004-05-05,17.3251,17.3251,17.3251,17.3251
2004-05-06,17.27,17.27,17.27,17.27
2004-05-07,17.2158,17.2158,17.2158,17.2158
2004-05-10,16.5,16.5,16.5,16.5
2004-05-11,17.0097,17.0097,17.0097,17.0097
2004-05-12,17.14,17.14,17.14,17.14
2004-05-13,16.92,16.92,16.92,16.92
2004-05-14,17.08,17.08,17.08,17.08
2004-05-17,17.0,17.0,17.0,17.0
2004-05-18,16.65,16.65,16.65,16.65
2004-05-19,16.56,16.56,16.56,16.56
2004-05-20,16.45,16.45,16.45,16.45
2004-05-21,16.34,16.34,16.34,16.34
2004-05-24,16.34,16.34,16.34,16.34
2004-05-25,16.43,16.43,16.43,16.43
2004-05-26,16.63,16.63,16.63,16.63
2004-05-27,16.75,16.75,16.75,16.75
2004-05-28,16.63,16.63,16.63,16.63
2004-06-01,16.67,16.67,16.67,16.67
2004-06-02,16.57,16.57,16.57,16.57
2004-06-03,16.7087,16.7087,16.7087,16.7087
2004-06-04,16.86,16.86,16.86,16.86
2004-06-07,17.01,17.01,17.01,17.01
2004-06-08,16.95,16.95,16.95,16.95
2004-06-09,17.04,17.04,17.04,17.04
2004-06-10,16.8,16.8,16.8,16.8
2004-06-14,16.65,16.65,16.65,16.65
2004-06-15,16.7,16.7,16.7,16.7
2004-06-16,16.51,16.51,16.51,16.51
2004-06-17,16.21,16.21,16.21,16.21
2004-06-18,16.27,16.27,16.27,16.27
2004-06-21,16.53,16.53,16.53,16.53
2004-06-22,16.57,16.57,16.57,16.57
2004-06-23,16.46,16.46,16.46,16.46
2004-06-24,16.33,16.33,16.33,16.33
2004-06-25,16.4,16.4,16.4,16.4
2004-06-28,16.59,16.59,16.59,16.59
2004-06-29,16.53,16.53,16.53,16.53
2004-06-30,16.78,16.78,16.78,16.78
2004-07-01,16.71,16.71,16.71,16.71
2004-07-02,16.58,16.58,16.58,16.58
2004-07-06,16.55,16.55,16.55,16.55
2004-07-07,16.4797,16.4797,16.4797,16.4797
2004-07-08,16.35,16.35,16.35,16.35
2004-07-09,16.36,16.36,16.36,16.36
2004-07-12,16.32,16.32,16.32,16.32
2004-07-13,16.35,16.35,16.35,16.35
2004-07-14,16.2366,16.2366,16.2366,16.2366
2004-07-15,16.1627,16.1627,16.1627,16.1627
2004-07-16,16.15,16.15,16.15,16.15
2004-07-19,16.4,16.4,16.4,16.4
2004-07-20,16.87,16.87,16.87,16.87
2004-07-21,16.5,16.5,16.5,16.5
2004-07-22,16.45,16.45,16.45,16.45
2004-07-23,16.13,16.13,16.13,16.13
2004-07-26,15.95,15.95,15.95,15.95
2004-07-27,15.87,15.87,15.87,15.87
